t,r,y,ym,u,t1,t2,t3,ypb
39.852,0.2929515,5.869141,0,3,0,0,0,0
39.952,0.2935876,5.874566,0,3,0,0,0,0
40.052,0.294223,5.887587,0,3,0,0,0,0
40.152,0.2948576,5.886863,0,3,0,0,0,0
40.252,0.2954915,5.886863,0,3,0,0,0,0
40.352,0.2961248,5.887225,0,3,0,0,0,0
40.452,0.2967572,5.88831,0,3,0,0,0,0
40.552,0.297389,5.89048,0,3,0,0,0,0
40.652,0.29802,5.883608,0,3,0,0,0,0
40.752,0.2986502,5.889033,0,3,0,0,0,0
40.851,0.2992735,5.888672,0,3,0,0,0,0
40.952,0.2999086,5.894097,0,3,0,0,0,0
41.052,0.3005366,5.891565,0,3,0,0,0,0
41.152,0.3011639,5.889757,0,3,0,0,0,0
41.251,0.3017842,5.881076,0,3,0,0,0,0
41.352,0.3024164,5.887587,0,3,0,0,0,0
41.451,0.3030352,5.877821,0,3,0,0,0,0
41.551,0.3036595,5.884693,0,3,0,0,0,0
41.652,0.3042893,5.88614,0,3,0,0,0,0
41.752,0.3049122,5.88831,0,3,0,0,0,0
41.852,0.3055343,5.89048,0,3,0,0,0,0
41.952,0.3061556,5.893735,0,3,0,0,0,0
42.052,0.3067762,5.891565,0,3,0,0,0,0
42.151,0.3073898,5.896991,0,3,0,0,0,0
42.252,0.308015,5.896629,0,3,0,0,0,0
42.352,0.3086333,5.886863,0,3,0,0,0,0
42.451,0.3092447,5.895905,0,3,0,0,0,0
42.552,0.3098676,5.892289,0,3,0,0,0,0
42.652,0.3104836,5.894459,0,3,0,0,0,0
42.752,0.3110989,5.891927,0,3,0,0,0,0
42.851,0.3117072,5.889395,0,3,0,0,0,0
42.951,0.3123209,5.895905,0,3,0,0,0,0
43.051,0.3129339,5.896629,0,3,0,0,0,0
43.151,0.313546,5.90314,0,3,0,0,0,0
43.252,0.3141635,5.893735,0,3,0,0,0,0
43.352,0.3147742,5.891927,0,3,0,0,0,0
43.452,0.315384,5.898076,0,3,0,0,0,0
43.551,0.315987,5.886502,0,3,0,0,0,0
43.652,0.3166013,5.887949,0,3,0,0,0,0
43.751,0.3172027,5.891203,0,3,0,0,0,0
43.852,0.3178155,5.895544,0,3,0,0,0,0
43.952,0.3184215,5.894097,0,3,0,0,0,0
44.052,0.3190266,5.896267,0,3,0,0,0,0
44.152,0.319631,5.900246,0,3,0,0,0,0
44.252,0.3202345,5.887587,0,3,0,0,0,0
44.352,0.3208373,5.889033,0,3,0,0,0,0
44.452,0.3214393,5.899161,0,3,0,0,0,0
44.552,0.3220405,5.900608,0,3,0,0,0,0
44.652,0.3226409,5.903501,0,3,0,0,0,0
44.752,0.3232405,5.90314,0,3,0,0,0,0
44.852,0.3238393,5.900246,0,3,0,0,0,0
44.952,0.3244373,5.903863,0,3,0,0,0,0
45.052,0.3250345,5.903863,0,3,0,0,0,0
45.152,0.3256309,5.899884,0,3,0,0,0,0
45.252,0.3262265,5.889033,0,3,0,0,0,0
45.352,0.3268213,5.903863,0,3,0,0,0,0
45.452,0.3274153,5.90314,0,3,0,0,0,0
45.551,0.3280025,5.901692,0,3,0,0,0,0
45.651,0.3285949,5.90314,0,3,0,0,0,0
45.752,0.3291924,5.900969,0,3,0,0,0,0
45.851,0.3297772,5.900608,0,3,0,0,0,0
45.951,0.3303672,5.899884,0,3,0,0,0,0
46.052,0.3309622,5.900608,0,3,0,0,0,0
46.152,0.3315505,5.902416,0,3,0,0,0,0
46.251,0.3321321,5.90965,0,3,0,0,0,0
46.352,0.3327247,5.916522,0,3,0,0,0,0
46.452,0.3333105,5.91833,0,3,0,0,0,0
46.552,0.3338955,5.908926,0,3,0,0,0,0
46.652,0.3344797,5.914713,0,3,0,0,0,0
46.752,0.3350631,5.910735,0,3,0,0,0,0
46.852,0.3356456,5.900608,0,3,0,0,0,0
46.952,0.3362274,5.90965,0,3,0,0,0,0
47.052,0.3368082,5.9205,0,3,0,0,0,0
47.152,0.3373883,5.90531,0,3,0,0,0,0
47.252,0.3379675,5.911458,0,3,0,0,0,0
47.352,0.3385459,5.908565,0,3,0,0,0,0
47.452,0.3391235,5.90748,0,3,0,0,0,0
47.552,0.3397002,5.898076,0,3,0,0,0,0
47.652,0.3402761,5.893374,0,3,0,0,0,0
47.752,0.3408511,5.911458,0,3,0,0,0,0
47.851,0.3414196,5.91833,0,3,0,0,0,0
47.952,0.3419987,5.91399,0,3,0,0,0,0
48.052,0.3425712,5.912181,0,3,0,0,0,0
48.152,0.3431428,5.900246,0,3,0,0,0,0
48.252,0.3437137,5.906033,0,3,0,0,0,0
48.352,0.3442836,5.90965,0,3,0,0,0,0
48.452,0.3448528,5.909288,0,3,0,0,0,0
48.552,0.345421,5.91182,0,3,0,0,0,0
48.652,0.3459885,5.916883,0,3,0,0,0,0
48.752,0.346555,5.912181,0,3,0,0,0,0
48.852,0.3471207,5.923756,0,3,0,0,0,0
48.952,0.3476856,5.926649,0,3,0,0,0,0
49.051,0.348244,5.920139,0,3,0,0,0,0
49.152,0.3488127,5.930989,0,3,0,0,0,0
49.252,0.349375,5.917607,0,3,0,0,0,0
49.352,0.3499364,5.921224,0,3,0,0,0,0
49.452,0.350497,5.916883,0,3,0,0,0,0
