t,r_l,r_g,r_gf,snimac1,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,Ts,vent
17.600284,0.000000,6.341200,3.140705,2.975411,0.000000,0.000000,-6.966759,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
17.700288,0.000000,6.341200,3.160755,2.955574,0.000000,0.000000,-6.795642,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
17.800287,0.000000,6.341200,3.180723,2.965493,0.000000,0.000000,-6.741082,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
17.900291,0.000000,6.341200,3.200609,2.965493,0.000000,0.000000,-6.646472,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
18.000291,0.000000,6.341200,3.220414,2.955574,0.000000,0.000000,-6.511115,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
18.100292,0.000000,6.341200,3.240137,2.955574,0.000000,0.000000,-6.413685,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
18.200296,0.000000,6.341200,3.259777,2.955574,0.000000,0.000000,-6.315205,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
18.300300,0.000000,6.341200,3.279335,2.975411,0.000000,0.000000,-6.295024,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
18.400299,0.000000,6.341200,3.298811,2.955574,0.000000,0.000000,-6.116499,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
18.500303,0.000000,6.341200,3.318202,2.945654,0.000000,0.000000,-5.975229,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
