t,Ts,snimac1,setpoint_pb,y_pb,u_pb,u,vent
27.300504,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
27.400508,0.100004,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
27.500507,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
27.600511,0.100004,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
27.700515,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
27.800519,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
27.900524,0.100004,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
28.000528,0.100004,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
28.100528,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
28.200527,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
28.300527,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
28.400531,0.100004,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
28.500532,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
28.600532,0.100000,6.217695,0.350000,6.217695,4.000000,4.000000,6.000000
28.700532,0.100000,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
28.800531,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
28.900535,0.100004,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
29.000535,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
29.100540,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
29.200540,0.100000,6.198129,0.350000,6.198129,4.000000,4.000000,6.000000
29.300540,0.100000,6.217695,0.350000,6.217695,4.000000,4.000000,6.000000
29.400539,0.100000,6.207912,0.350000,6.207912,4.000000,4.000000,6.000000
29.500539,0.100000,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
29.600543,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
29.700544,0.100000,6.227478,0.350000,6.227478,4.000000,4.000000,6.000000
