t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,vent
25.846,0,6.3412,4.502994,3.516348,0,0,-5.318018,0,0,1,1.48,2.77,6
25.946,0,6.3412,4.516132,3.509476,0,0,-5.168913,0,0,1,1.48,2.77,6
26.046,0,6.3412,4.529191,3.509838,0,0,-5.047659,0,0,1,1.48,2.77,6
26.146,0,6.3412,4.542171,3.511285,0,0,-4.930171,0,0,1,1.48,2.77,6
26.246,0,6.3412,4.555072,3.510923,0,0,-4.804955,0,0,1,1.48,2.77,6
26.346,0,6.3412,4.567896,3.512008,0,0,-4.684911,0,0,1,1.48,2.77,6
26.445,0,6.3412,4.580641,3.51671,0,0,-4.578826,0,0,1,1.48,2.77,6
26.546,0,6.3412,4.593309,3.508391,0,0,-4.420403,0,0,1,1.48,2.77,6
26.646,0,6.3412,4.6059,3.512731,0,0,-4.311456,0,0,1,1.48,2.77,6
26.746,0,6.3412,4.618414,3.508391,0,0,-4.167519,0,0,1,1.48,2.77,6
26.845,0,6.3412,4.630851,3.508753,0,0,-4.041516,0,0,1,1.48,2.77,6
26.945,0,6.3412,4.643211,3.514902,0,0,-3.938123,0,0,1,1.48,2.77,6
27.046,0,6.3412,4.655496,3.514902,0,0,-3.810003,0,0,1,1.48,2.77,6
27.145,0,6.3412,4.667704,3.509476,0,0,-3.659626,0,0,1,1.48,2.77,6
27.246,0,6.3412,4.679837,3.506221,0,0,-3.516999,0,0,1,1.48,2.77,6
27.346,0,6.3412,4.691895,3.509115,0,0,-3.398189,0,0,1,1.48,2.77,6
27.446,0,6.3412,4.703877,3.503327,0,0,-3.244316,0,0,1,1.48,2.77,6
27.546,0,6.3412,4.715785,3.509115,0,0,-3.135796,0,0,1,1.48,2.77,6
27.646,0,6.3412,4.727618,3.505498,0,0,-2.989527,0,0,1,1.48,2.77,6
27.746,0,6.3412,4.739377,3.504413,0,0,-2.852601,0,0,1,1.48,2.77,6
27.845,0,6.3412,4.751063,3.499711,0,0,-2.700603,0,0,1,1.48,2.77,6
27.946,0,6.3412,4.762675,3.505136,0,0,-2.588263,0,0,1,1.48,2.77,6
28.045,0,6.3412,4.774213,3.498987,0,0,-2.429485,0,0,1,1.48,2.77,6
28.146,0,6.3412,4.785679,3.493562,0,0,-2.272654,0,0,1,1.48,2.77,6
28.246,0,6.3412,4.797072,3.492838,0,0,-2.13374,0,0,1,1.48,2.77,6
28.346,0,6.3412,4.808393,3.496455,0,0,-2.01163,0,0,1,1.48,2.77,6
28.446,0,6.3412,4.819642,3.495732,0,0,-1.871904,0,0,1,1.48,2.77,6
28.546,0,6.3412,4.830819,3.497902,0,0,-1.743202,0,0,1,1.48,2.77,6
28.646,0,6.3412,4.841925,3.49754,0,0,-1.60403,0,0,1,1.48,2.77,6
28.746,0,6.3412,4.852959,3.495732,0,0,-1.458551,0,0,1,1.48,2.77,6
28.845,0,6.3412,4.863923,3.502242,0,0,-1.34573,0,0,1,1.48,2.77,6
